DepID,InstID,CH1_SN,CH1_Sens_dB,CH1_Dist_m,CH2_SN,CH2_Sens_dB,CH2_Dist_m,ST_Sens_dB,FullSystem_CH1_dB
ADRIFT_001,5987,856135,-155.1,0,856147,-160.1,4.966,-4,-159.1
ADRIFT_002,5296,856097,-155.6,,856059,,,-4,-159.6
ADRIFT_003,1208786975,856122,-155.6,,NA,,,-4,-159.6
ADRIFT_004,5988,856097,-155.6,,856059,,,-4,-159.6
ADRIFT_005,1208786975,856122,-155.6,,NA,,,-4,-159.6
ADRIFT_006,5318,856097,-155.2,1.51,NA,-165,3.51,-4,-159.2
ADRIFT_007,5318,856116,-155.2,1.51,NA,-165,3.51,-4,-159.2
ADRIFT_008,5297,1,,,0,,,-4,
ADRIFT_009,5985,856134,-155.7,0,856146,-160.1,4.966,-4,-159.7
ADRIFT_010,1208786975,856116,-155.2,1.51,NA,-165,3.51,-4,-159.2
ADRIFT_011,5318,856122,-155.6,,NA,,,-4,-159.6
ADRIFT_012,5992,856162,-155.3,0,856168,-159.6,5,-4,-159.3
ADRIFT_013,6655,856163,-155.5,0,856171,-159.7,5,-4,-159.5
ADRIFT_014,6669,856160,-155.3,0,856174,-159.6,5,-4,-159.3
ADRIFT_015,6668,856154,-155.2,0,856170,-159.8,5,-4,-159.2
ADRIFT_016,6671,856117,-155.3,,856118,,,-4,-159.3
ADRIFT_017,5987,856162,-155.3,0,856168,-159.6,5,-4,-159.3
ADRIFT_018,5989,856155,-155.5,0,856166,-159.3,5,-4,-159.5
ADRIFT_019,6673,856157,-155.4,0,856169,-159.5,5,-4,-159.4
ADRIFT_020,6666,856156,-155.2,0,856167,-159.8,5,-4,-159.2
ADRIFT_021,6670,856164,-155.1,0,856175,-159.9,5,-4,-159.1
ADRIFT_022,6667,856159,-155.4,0,856177,-159.8,5,-4,-159.4
ADRIFT_023,6665,856141,-155,0,856144,-159.9,5,-4,-159
ADRIFT_024,6664,856163,-155.5,0,856171,-159.7,5,-4,-159.5
ADRIFT_025,6672,856139,-155.4,0,856148,-160.2,4.915,-4,-159.4
ADRIFT_026,6663,856165,-155.4,0,856173,-159.5,5,-4,-159.4
ADRIFT_027,6668,856154,-155.2,,856170,,,-4,-159.2
ADRIFT_028,6671,856117,-155.3,0,856118,-159.8,5,-4,-159.3
ADRIFT_029,5989,856049,-154.5,,856068,,,-4,-158.5
ADRIFT_030,5987,856161,-155.3,0,856176,-159.6,5,-4,-159.3
ADRIFT_031,5984,856155,-155.5,0,856166,-159.3,5,-4,-159.5
ADRIFT_032,5987,856155,-155.5,0,856166,-159.3,5,-4,-159.5
ADRIFT_033,5984,856162,-155.3,0,856168,-159.6,5,-4,-159.3
ADRIFT_034,6668,856154,-155.2,0,856170,-159.8,5,-4,-159.2
ADRIFT_035,6671,856117,-155.3,,856118,,,-4,-159.3
ADRIFT_036,5984,856155,-155.5,0,856166,-159.3,5,-4,-159.5
ADRIFT_037,8025,856162,-155.3,,856168,,,-4,-159.3
ADRIFT_038,5987,856161,-155.3,0,856176,-159.6,5,-4,-159.3
ADRIFT_039,5984,856155,-155.5,0,856166,-159.3,5,-4,-159.5
ADRIFT_040,8025,856162,-155.3,,856168,,,-4,-159.3
ADRIFT_041,5987,856161,-155.3,0,856176,-159.6,5,-4,-159.3
ADRIFT_042,5296,856163,-155.5,0,856171,-159.7,5,-4,-159.5
ADRIFT_043,5986,856159,-155.4,0,856177,-159.8,5,-4,-159.4
ADRIFT_044,5991,856136,-155.4,,856145,,,-4,-159.4
ADRIFT_045,5994,856138,-155.3,0,856151,-160.3,4.943,-4,-159.3
ADRIFT_046,6655,856158,-155.1,0,856172,-159.7,5,-4,-159.1
ADRIFT_047,6668,856117,-155.3,,856128,,,-4,-159.3
ADRIFT_048,7519,856157,-155.4,0,856169,-159.5,5,-4,-159.4
ADRIFT_049,6671,856141,-155,,856144,,,-4,-159
ADRIFT_050,6664,856165,-155.4,0,856173,-159.5,5,-4,-159.4
ADRIFT_051,6667,856154,-155.2,0,856170,-159.8,5,-4,-159.2
ADRIFT_052,7517,856164,-155.1,0,856175,-159.9,5,-4,-159.1
ADRIFT_053,6665,856139,-155.4,0,856148,-160.2,4.915,-4,-159.4
ADRIFT_054,5984,856155,-155.5,0,856166,-159.3,5,-4,-159.5
ADRIFT_055,8025,856161,-155.3,,856176,,,-4,-159.3
ADRIFT_056,1071,856156,-155.2,,856167,,,-4,-159.2
ADRIFT_057,5992,856162,-155.3,0,856168,-159.6,5,-4,-159.3
ADRIFT_058,5296,856163,-155.5,0,856171,-159.7,5,-4,-159.5
ADRIFT_059,5986,856159,-155.4,0,856177,-159.8,5,-4,-159.4
ADRIFT_060,5991,856136,-155.4,,856145,,,-4,-159.4
ADRIFT_061,5994,856138,-155.3,0,856151,-160.3,4.943,-4,-159.3
ADRIFT_062,5296,856163,-155.5,0,856171,-159.7,5,-4,-159.5
ADRIFT_063,5986,856159,-155.4,0,856177,-159.8,5,-4,-159.4
ADRIFT_064,5991,856136,-155.4,,856145,,,-4,-159.4
ADRIFT_065,5994,856138,-155.3,0,856151,-160.3,4.943,-4,-159.3
ADRIFT_066,6671,856154,-155.2,,856170,,,-4,-159.2
ADRIFT_067,6668,856158,-155.1,0,856172,-159.7,5,-4,-159.1
ADRIFT_068,5992,856155,-155.5,0,856166,-159.3,5,-4,-159.5
ADRIFT_069,1071,856161,-155.3,,856176,,,-4,-159.3
ADRIFT_070,5984,856156,-155.2,0,856167,-159.8,5,-4,-159.2
ADRIFT_071,8025,856162,-155.3,,856168,,,-4,-159.3
ADRIFT_072,5296,856163,-155.5,0,856171,-159.7,5,-4,-159.5
ADRIFT_073,5986,856159,-155.4,0,856177,-159.8,5,-4,-159.4
ADRIFT_074,5991,856136,-155.4,0,856145,-160.1,4.902,-4,-159.4
ADRIFT_075,5994,856138,-155.3,0,856151,-160.3,4.943,-4,-159.3
ADRIFT_076,5296,856163,-155.5,0,856171,-159.7,5,-4,-159.5
